iter	Logloss
179	0.5700395474
180	0.5700200515
181	0.569994209
182	0.5699751567
183	0.569964888
184	0.5699515073
185	0.5699350447
186	0.5699143376
187	0.5698927998
188	0.5698813961
189	0.5698677599
190	0.5698473481
191	0.5698246204
192	0.5698047882
193	0.5697869562
194	0.5697658948
195	0.569728003
196	0.5697179485
197	0.5696973472
198	0.5696741284
199	0.569653167
200	0.5696386362
201	0.5696251877
202	0.5696143366
203	0.5695968327
204	0.5695765887
205	0.5695578466
206	0.5695438451
207	0.5695370733
208	0.5695134562
209	0.5694764106
210	0.5694585429
211	0.5694310651
212	0.5694102346
213	0.5693930521
214	0.569363117
215	0.5693416706
216	0.5693223753
217	0.5693049381
218	0.5692878908
219	0.5692683886
220	0.5692501198
221	0.569233274
222	0.5692138033
223	0.5691976248
224	0.5691782628
225	0.5691603907
226	0.569145648
227	0.5691267786
228	0.5691120716
229	0.5690921656
230	0.5690815141
231	0.5690596571
232	0.5690377477
233	0.5690200418
234	0.568991411
235	0.568975654
236	0.5689559742
237	0.5689439112
238	0.5689192007
239	0.5688818147
240	0.5688600713
241	0.5688325137
242	0.5688100461
243	0.5687948064
244	0.5687803557
245	0.5687617324
246	0.568742746
247	0.5687225952
248	0.568707949
249	0.5686831709
250	0.5686651349
251	0.5686432624
252	0.5686312621
253	0.568611099
254	0.5685927371
255	0.5685731307
256	0.5685528973
257	0.5685357675
258	0.5684955126
259	0.5684772642
260	0.568457466
261	0.5684365498
262	0.5684106982
263	0.5683991421
264	0.5683712088
265	0.5683465358
266	0.5683310171
267	0.5683087047
268	0.5682882372
269	0.5682646186
270	0.5682468461
271	0.5682300933
272	0.5682080622
273	0.5681840199
274	0.5681693126
275	0.5681459288
276	0.5681211242
277	0.5680981806
278	0.5680814761
279	0.5680601399
280	0.5680435419
281	0.5680239437
282	0.5680023416
283	0.5679760184
284	0.5679503379
285	0.5679305201
286	0.5678907471
287	0.567867693
288	0.5678453314
289	0.5678277433
290	0.5678066363
291	0.5677807359
292	0.5677601842
293	0.5677337285
294	0.5677085583
295	0.5676908052
296	0.5676651992
297	0.5676429781
298	0.5676213289
299	0.5675935484
300	0.56756159
301	0.5675467992
302	0.5675197843
303	0.5674926999
304	0.567465618
305	0.567438131
306	0.5674164146
307	0.5673606174
308	0.5673346826
309	0.5673052904
310	0.5672872985
311	0.5672597306
312	0.5672410705
313	0.5672158553
314	0.5671946447
315	0.5671706717
316	0.567149173
317	0.5671016054
318	0.5670857361
319	0.5670647491
320	0.5670370053
321	0.5670186299
322	0.5670024658
323	0.5669792925
324	0.5669562229
325	0.5669340381
326	0.5669127396
327	0.5668914026
328	0.5668668619
329	0.5668170603
330	0.5667917594
331	0.5667664361
332	0.5667463092
333	0.5667312657
334	0.566703532
335	0.5666768336
336	0.5666553309
337	0.5666336771
338	0.5666122968
339	0.5665919338
340	0.5665724505
341	0.5665473635
342	0.5665287747
343	0.5665044916
344	0.5664797663
345	0.5664568139
346	0.5664317215
347	0.5664064193
348	0.5663889645
349	0.5663697327
350	0.5663475611
351	0.5662971248
352	0.5662780426
353	0.5662514725
354	0.5662395869
355	0.5662224816
356	0.5661963682
357	0.5661664226
358	0.5661534661
359	0.5661335238
360	0.5661111626
361	0.5660906874
362	0.5660754631
363	0.5660516242
364	0.5660316648
365	0.5660066245
366	0.5659894129
367	0.5659643596
368	0.5659482095
369	0.5659301075
370	0.565912121
371	0.5658887181
372	0.5658721066
373	0.5658457957
374	0.5658236358
375	0.5657998516
376	0.5657750444
377	0.5657476726
378	0.5657195492
379	0.5656940276
380	0.5656773804
381	0.5656568178
382	0.5656329542
383	0.5656029089
384	0.5655867573
385	0.5655657824
386	0.5655473393
387	0.565521476
388	0.5655043618
389	0.5654829665
390	0.5654648612
391	0.5654483492
392	0.5654295377
393	0.5654164293
394	0.5653769503
395	0.5653507322
396	0.5653251198
397	0.5652971344
398	0.5652756085
399	0.5652519199
400	0.5652216565
401	0.5652009302
402	0.5651790945
403	0.565155157
404	0.5651349698
405	0.5651240856
406	0.5650995608
407	0.5650781634
408	0.5650591104
409	0.5650331167
410	0.565015846
411	0.5649922399
412	0.5649741466
413	0.5649578983
414	0.5649324707
415	0.5649137657
416	0.5648928753
417	0.5648619219
418	0.5648385563
419	0.5648171728
420	0.5647976097
421	0.564782091
422	0.564753732
423	0.5647292312
424	0.5647125372
425	0.5646847529
426	0.5646594766
427	0.5646362667
428	0.564624745
429	0.5646017148
430	0.5645819193
431	0.5645727137
432	0.5645486012
433	0.5645261231
434	0.5645079997
435	0.5644846532
436	0.564468089
437	0.5644426121
438	0.5644261164
439	0.5644041431
440	0.5643822974
441	0.5643613939
442	0.5643302359
443	0.5643085437
444	0.5642861945
445	0.5642636535
446	0.5642417988
447	0.5642152868
448	0.5642026463
449	0.5641761578
450	0.5641633433
451	0.5641423809
452	0.5641287082
453	0.5641076741
454	0.5640896081
455	0.5640725729
456	0.5640514348
457	0.5640263364
458	0.5640030478
459	0.5639874684
460	0.5639685748
461	0.5639485336
462	0.5639237919
463	0.5639011495
464	0.5638851955
465	0.5638604001
466	0.5638385253
467	0.5638155488
468	0.5637926469
469	0.5637649473
470	0.5637486973
471	0.5637318272
472	0.5637105254
473	0.5636882229
474	0.5636639765
475	0.5636502331
476	0.5636356793
477	0.5636124734
478	0.5635983383
479	0.5635802222
480	0.5635572302
481	0.5635295349
482	0.563508631
483	0.5634871632
484	0.5634481778
485	0.5634288134
486	0.5633985627
487	0.5633794584
488	0.5633516605
489	0.5633297814
490	0.5633032678
491	0.5632792237
492	0.5632615638
493	0.5632388845
494	0.563216347
